Quarter,Sample_Size,Unique_Consumer_Units,Avg_Age,Avg_Family_Size,Avg_Income,Median_Income,Avg_Expenditure,Median_Expenditure,Savings_Rate_%
Q2 2024 (Apr-Jun),4673,4673,54.03830515728654,2.3372565803552323,106284.40358138537,75000.0,12895.879445623797,9017.6667,87.85448801291865
Q3 2024 (Jul-Sep),4612,4612,53.82090199479618,2.322419774501301,107217.53245652175,75000.0,13572.78750067216,9556.1193,87.32324032990684
Q4 2024 (Oct-Dec),4601,4601,54.353836122582045,2.309280591175831,106440.0997820876,74447.8,13876.391034340362,9637.2501,86.9514547413899
