Quarter,Avg_Income,Avg_Expenditure,Correlation,Expend_Income_Ratio,Savings_Rate,N
Q2 2024 (Apr-Jun),106284.40358138537,12908.78497737508,0.5374989364899933,0.40780915886840546,0.5921908411315946,4663
Q3 2024 (Jul-Sep),107217.53245652175,13591.708913717392,0.5118252684804153,0.35289162686135855,0.6471083731386414,4600
Q4 2024 (Oct-Dec),106440.0997820876,13888.884593375462,0.4644696422609318,2.8636251764306717,-1.8636251764306717,4589
