NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
05780721,980090,100,,1
05780721,980210,100,,1
05780721,980240,100,,1
05780721,980281,100,,1
05780721,980286,100,,1
05780721,980300,100,,1
05780721,980330,100,,1
05780722,900030,47236,,1
05780722,900170,1504,,1
05780722,900180,1350,,1
05780722,980000,50090,,1
05780722,980010,2,,1
05780722,980020,80,,1
05780722,980040,2,,1
05780722,980060,2,,1
05780722,980090,100,,1
05780722,980210,100,,1
05780722,980240,100,,1
05780722,980281,100,,1
05780722,980286,100,,1
05780722,980300,100,,1
05780722,980330,100,,1
05780801,900000,72931,,1
05780801,980000,72931,,1
05780801,980010,1,,1
05780801,980020,45,,1
05780801,980030,1,,1
05780801,980040,1,,1
05780801,980090,100,,1
05780801,980210,100,,1
05780801,980230,100,,1
05780801,980281,100,,1
05780801,980286,100,,1
05780801,980310,100,,1
05780801,980330,100,,1
05780802,900000,78054,,1
05780802,980000,78054,,1
05780802,980010,1,,1
05780802,980020,45,,1
05780802,980030,1,,1
05780802,980040,1,,1
05780802,980090,100,,1
05780802,980210,100,,1
05780802,980230,100,,1
05780802,980281,100,,1
05780802,980286,100,,1
05780802,980310,100,,1
05780802,980330,100,,1
05780811,800932,6000,,1
05780811,800940,6885,,1
05780811,900000,100000,,1
05780811,900160,30000,,1
05780811,900180,300,,1
05780811,980000,130300,,1
05780811,980010,4,,1
05780811,980020,36,,1
05780811,980030,2,,1
05780811,980040,3,,1
05780811,980050,2,,1
05780811,980090,100,,1
05780811,980210,100,,1
05780811,980230,100,,1
05780811,980282,100,,1
05780811,980286,100,,1
05780811,980310,100,,1
05780811,980330,100,,1
05780812,800932,6000,,1
05780812,800940,6885,,1
05780812,900000,100000,,1
05780812,900160,30000,,1
05780812,900180,300,,1
05780812,980000,130300,,1
05780812,980010,4,,1
05780812,980020,36,,1
05780812,980030,2,,1
05780812,980040,3,,1
05780812,980050,2,,1
05780812,980090,100,,1
05780812,980210,100,,1
05780812,980230,100,,1
05780812,980282,100,,1
05780812,980286,100,,1
05780812,980310,100,,1
05780812,980330,100,,1
05780901,800940,35302,T,1
05780901,900000,416271,T,1
05780901,900160,72697,,1
05780901,900180,121512,T,1
05780901,980000,610480,T,1
05780901,980010,3,,1
05780901,980020,36,,1
05780901,980030,2,,1
05780901,980040,2,,1
05780901,980050,1,,1
05780901,980220,100,,1
05780901,980260,100,,1
05780901,980281,100,,1
05780901,980286,100,,1
05780901,980310,100,,1
05780901,980330,100,,1
05780902,800940,27279,T,1
05780902,900000,416271,T,1
05780902,900160,69313,,1
05780902,900180,121512,T,1
05780902,980000,607095,T,1
05780902,980010,3,,1
05780902,980020,36,,1
05780902,980030,2,,1
05780902,980040,2,,1
05780902,980050,1,,1
05780902,980220,100,,1
05780902,980260,100,,1
05780902,980281,100,,1
05780902,980286,100,,1
05780902,980310,100,,1
05780902,980330,100,,1
05780921,800932,10000,,1
05780921,900000,55000,,1
05780921,900030,20331,,1
05780921,900170,20000,,1
05780921,900180,2000,,1
05780921,980000,97331,,1
05780921,980010,2,,1
05780921,980020,44,,1
05780921,980030,1,,1
05780921,980040,2,,1
05780921,980060,1,,1
05780921,980090,100,,1
05780921,980210,100,,1
05780921,980230,100,,1
05780921,980281,100,,1
05780921,980286,100,,1
05780921,980310,100,,1
05780921,980330,100,,1
05780922,800932,10000,,1
05780922,900000,55000,,1
05780922,900030,18598,,1
05780922,900170,20000,,1
05780922,900180,2000,,1
05780922,980000,95598,,1
05780922,980010,2,,1
05780922,980020,44,,1
05780922,980030,1,,1
05780922,980040,2,,1
05780922,980060,1,,1
05780922,980090,100,,1
05780922,980210,100,,1
05780922,980230,100,,1
05780922,980281,100,,1
05780922,980286,100,,1
05780922,980310,100,,1
05780922,980330,100,,1
05780961,800940,17651,T,1
05780961,900000,356271,T,1
05780961,900160,149584,T,1
05780961,980000,505855,T,1
05780961,980010,7,,1
05780961,980020,36,,1
05780961,980030,1,,1
05780961,980040,3,,1
05780961,980050,5,,1
05780961,980090,100,,1
05780961,980220,100,,1
05780961,980230,100,,1
05780961,980281,100,,1
05780961,980286,100,,1
05780961,980310,100,,1
05780961,980330,100,,1
05780962,800940,17651,T,1
05780962,900000,356271,T,1
05780962,900160,64350,,1
05780962,980000,420621,T,1
05780962,980010,7,,1
05780962,980020,36,,1
05780962,980030,1,,1
05780962,980040,3,,1
05780962,980050,5,,1
05780962,980090,100,,1
05780962,980220,100,,1
05780962,980230,100,,1
05780962,980281,100,,1
05780962,980286,100,,1
05780962,980310,100,,1
05780962,980330,100,,1
05780971,900030,17323,,1
05780971,900180,1496,,1
05780971,900190,12444,,1
05780971,980000,31263,,1
05780971,980010,1,,1
05780971,980020,73,,1
05780971,980060,1,,1
05780971,980090,100,,1
05780971,980220,100,,1
05780971,980250,100,,1
05780971,980281,100,,1
05780971,980286,100,,1
05780971,980310,100,,1
05780972,900030,27125,,1
05780972,900170,97463,T,1
05780972,900180,1153,,1
05780972,980000,125741,T,1
05780972,980010,1,,1
05780972,980020,73,,1
05780972,980060,1,,1
05780972,980090,100,,1
05780972,980220,100,,1
05780972,980250,100,,1
05780972,980281,100,,1
05780972,980286,100,,1
05780972,980310,100,,1
05780981,900000,6000,,1
05780981,900030,28800,,1
05780981,900190,24000,,1
05780981,980000,58800,,1
05780981,980010,2,,1
05780981,980020,53,,1
05780981,980030,1,,1
05780981,980040,1,,1
05780981,980050,1,,1
05780981,980090,100,,1
05780981,980220,100,,1
05780981,980230,100,,1
05780981,980281,100,,1
05780981,980285,100,,1
05780981,980310,100,,1
05780981,980330,100,,1
