NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
05907801,900000,56262,1,1,
05907801,900000,90104,2,1,
05907801,900000,4214,3,1,
05907801,900000,41497,4,1,
05907801,900000,5668,5,1,
05907801,980000,56262,1,1,
05907801,980000,90104,2,1,
05907801,980000,4214,3,1,
05907801,980000,41497,4,1,
05907801,980000,5668,5,1,
05907802,900000,33239,1,1,
05907802,900000,52186,2,1,
05907802,900000,3642,3,1,
05907802,900000,39113,4,1,
05907802,900000,152543,5,1,
05907802,980000,33239,1,1,
05907802,980000,52186,2,1,
05907802,980000,3642,3,1,
05907802,980000,39113,4,1,
05907802,980000,152543,5,1,
05907811,900000,145000,1,1,
05907811,900000,145000,2,1,
05907811,900000,145000,3,1,
05907811,900000,145000,4,1,
05907811,900000,145000,5,1,
05907811,980000,145000,1,1,
05907811,980000,145000,2,1,
05907811,980000,145000,3,1,
05907811,980000,145000,4,1,
05907811,980000,145000,5,1,
05907812,900000,145000,1,1,
05907812,900000,145000,2,1,
05907812,900000,145000,3,1,
05907812,900000,145000,4,1,
05907812,900000,145000,5,1,
05907812,980000,145000,1,1,
05907812,980000,145000,2,1,
05907812,980000,145000,3,1,
05907812,980000,145000,4,1,
05907812,980000,145000,5,1,
05907831,900000,40000,1,1,
05907831,900000,40000,2,1,
05907831,900000,40000,3,1,
05907831,900000,40000,4,1,
05907831,900000,40000,5,1,
05907831,900180,39,1,1,
05907831,900180,60,2,1,
05907831,900180,119,3,1,
05907831,900180,79,4,1,
05907831,900180,104,5,1,
05907831,980000,40039,1,1,
05907831,980000,40060,2,1,
05907831,980000,40119,3,1,
05907831,980000,40079,4,1,
05907831,980000,40104,5,1,
05907832,900000,40000,1,1,
05907832,900000,40000,2,1,
05907832,900000,40000,3,1,
05907832,900000,40000,4,1,
05907832,900000,40000,5,1,
05907832,900180,113,1,1,
05907832,900180,2,2,1,
05907832,900180,30,3,1,
05907832,900180,68,4,1,
05907832,900180,113,5,1,
05907832,980000,40113,1,1,
05907832,980000,40002,2,1,
05907832,980000,40030,3,1,
05907832,980000,40068,4,1,
05907832,980000,40113,5,1,
05907851,900000,39900,1,1,
05907851,900000,39900,2,1,
05907851,900000,39900,3,1,
05907851,900000,39900,4,1,
05907851,900000,39900,5,1,
05907851,900160,30000,1,1,
05907851,900160,30000,2,1,
05907851,900160,30000,3,1,
05907851,900160,30000,4,1,
05907851,900160,30000,5,1,
05907851,980000,69900,1,1,
05907851,980000,69900,2,1,
05907851,980000,69900,3,1,
05907851,980000,69900,4,1,
05907851,980000,69900,5,1,
05907852,900000,39900,1,1,
05907852,900000,39900,2,1,
05907852,900000,39900,3,1,
05907852,900000,39900,4,1,
05907852,900000,39900,5,1,
05907852,900160,30000,1,1,
05907852,900160,30000,2,1,
05907852,900160,30000,3,1,
05907852,900160,30000,4,1,
05907852,900160,30000,5,1,
05907852,980000,69900,1,1,
05907852,980000,69900,2,1,
05907852,980000,69900,3,1,
05907852,980000,69900,4,1,
05907852,980000,69900,5,1,
05907891,900030,53584,1,1,
05907891,900030,51736,2,1,
05907891,900030,53320,3,1,
05907891,900030,52588,4,1,
05907891,900030,77908,5,1,
05907891,900170,97463,1,1,T
05907891,900170,97463,2,1,T
05907891,900170,97463,3,1,T
05907891,900170,97463,4,1,T
05907891,900170,97463,5,1,T
05907891,900180,409,1,1,
05907891,900180,107,2,1,
05907891,900180,157,3,1,
05907891,900180,85,4,1,
05907891,900180,83,5,1,
05907891,900210,46702,1,1,
05907891,900210,198,2,1,
05907891,900210,8811,3,1,
05907891,900210,1231,4,1,
05907891,900210,45783,5,1,
05907891,980000,176004,1,1,T
05907891,980000,176004,2,1,T
05907891,980000,176004,3,1,T
05907891,980000,176004,4,1,T
05907891,980000,176004,5,1,T
05907892,900030,50116,1,1,
05907892,900030,68800,2,1,
05907892,900030,49492,3,1,
05907892,900030,68164,4,1,
05907892,900030,73816,5,1,
05907892,900170,912,1,1,
05907892,900170,1042,2,1,
05907892,900170,62005,3,1,
05907892,900170,16557,4,1,
05907892,900170,193,5,1,
05907892,900180,175,1,1,
