NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
05734231,900000,97000,,1
05734231,980000,97000,,1
05734231,980010,2,,1
05734231,980020,26,,1
05734231,980030,2,,1
05734231,980040,2,,1
05734231,980090,100,,1
05734231,980220,100,,1
05734231,980230,100,,1
05734231,980281,100,,1
05734231,980286,100,,1
05734231,980300,100,,1
05734231,980330,100,,1
05734232,900000,97000,,1
05734232,980000,97000,,1
05734232,980010,2,,1
05734232,980020,26,,1
05734232,980030,2,,1
05734232,980040,2,,1
05734232,980090,100,,1
05734232,980220,100,,1
05734232,980230,100,,1
05734232,980281,100,,1
05734232,980286,100,,1
05734232,980300,100,,1
05734232,980330,100,,1
05734241,800932,6786,,1
05734241,900000,158319,,1
05734241,980000,158319,,1
05734241,980010,2,,1
05734241,980020,62,,1
05734241,980030,2,,1
05734241,980040,1,,1
05734241,980090,100,,1
05734241,980210,100,,1
05734241,980230,100,,1
05734241,980270,100,,1
05734241,980286,100,,1
05734241,980310,100,,1
05734241,980330,100,,1
05734242,800932,6786,,1
05734242,900000,158319,,1
05734242,980000,158319,,1
05734242,980010,2,,1
05734242,980020,62,,1
05734242,980030,2,,1
05734242,980040,1,,1
05734242,980090,100,,1
05734242,980210,100,,1
05734242,980230,100,,1
05734242,980270,100,,1
05734242,980286,100,,1
05734242,980310,100,,1
05734242,980330,100,,1
05734251,900000,90000,,1
05734251,900140,5248,,1
05734251,980000,95248,,1
05734251,980010,4,,1
05734251,980020,33,,1
05734251,980030,1,,1
05734251,980040,1,,1
05734251,980050,2,,1
05734251,980090,100,,1
05734251,980220,100,,1
05734251,980230,100,,1
05734251,980281,100,,1
05734251,980286,100,,1
05734251,980310,100,,1
05734251,980330,100,,1
05734252,900000,90000,,1
05734252,900140,5248,,1
05734252,980000,95248,,1
05734252,980010,4,,1
05734252,980020,33,,1
05734252,980030,1,,1
05734252,980040,1,,1
05734252,980050,2,,1
05734252,980090,100,,1
05734252,980220,100,,1
05734252,980230,100,,1
