NEWID,UCC,AMOUNT,AMOUNT_,PUB_FLAG
05689401,800931,34173,T,1
05689401,800932,300,,1
05689401,900000,418271,T,1
05689401,980000,418271,T,1
05689401,980010,2,,1
05689401,980020,38,,1
05689401,980030,2,,1
05689401,980040,2,,1
05689401,980090,100,,1
05689401,980210,100,,1
05689401,980230,100,,1
05689401,980281,100,,1
05689401,980286,100,,1
05689401,980300,100,,1
05689401,980330,100,,1
05689402,800931,34173,T,1
05689402,800932,300,,1
05689402,900000,418271,T,1
05689402,980000,418271,T,1
05689402,980010,2,,1
05689402,980020,38,,1
05689402,980030,2,,1
05689402,980040,2,,1
05689402,980090,100,,1
05689402,980210,100,,1
05689402,980230,100,,1
05689402,980281,100,,1
05689402,980286,100,,1
05689402,980300,100,,1
05689402,980330,100,,1
05689411,800940,17651,T,1
05689411,900000,77133,,1
05689411,900160,26477,,1
05689411,980000,103610,,1
05689411,980010,1,,1
05689411,980020,42,,1
05689411,980030,1,,1
05689411,980090,100,,1
05689411,980210,100,,1
05689411,980230,100,,1
05689411,980281,100,,1
05689411,980286,100,,1
05689411,980310,100,,1
05689412,800940,17651,T,1
05689412,900000,118911,,1
05689412,900160,44236,,1
05689412,980000,163147,,1
05689412,980010,1,,1
05689412,980020,42,,1
05689412,980030,1,,1
05689412,980090,100,,1
05689412,980210,100,,1
05689412,980230,100,,1
05689412,980281,100,,1
05689412,980286,100,,1
05689412,980310,100,,1
05689421,900030,1500,,1
05689421,900170,8618,,1
05689421,980000,10118,,1
05689421,980010,1,,1
05689421,980020,88,T,1
05689421,980040,1,,1
05689421,980060,1,,1
05689421,980090,100,,1
05689421,980220,100,,1
05689421,980240,100,,1
05689421,980281,100,,1
05689421,980286,100,,1
05689421,980310,100,,1
05689421,980330,100,,1
05689422,900030,1500,,1
05689422,900170,2014,,1
05689422,980000,3514,,1
05689422,980010,1,,1
05689422,980020,88,T,1
05689422,980040,1,,1
05689422,980060,1,,1
05689422,980090,100,,1
05689422,980220,100,,1
05689422,980240,100,,1
05689422,980281,100,,1
05689422,980286,100,,1
05689422,980310,100,,1
05689422,980330,100,,1
05689431,900000,43932,,1
05689431,900170,1500,,1
05689431,980000,45432,,1
05689431,980010,1,,1
05689431,980020,62,,1
05689431,980030,1,,1
05689431,980040,1,,1
05689431,980220,100,,1
05689431,980260,100,,1
05689431,980281,100,,1
05689431,980286,100,,1
05689431,980310,100,,1
05689431,980330,100,,1
05689432,900000,46205,,1
05689432,900170,1500,,1
05689432,980000,47705,,1
05689432,980010,1,,1
05689432,980020,62,,1
05689432,980030,1,,1
05689432,980040,1,,1
05689432,980220,100,,1
05689432,980260,100,,1
05689432,980281,100,,1
05689432,980286,100,,1
05689432,980310,100,,1
05689432,980330,100,,1
05689451,900030,16364,,1
05689451,900160,64299,,1
05689451,900180,2624,,1
