NEWID,UCC,AMOUNT,IMPNUM,PUB_FLAG,AMOUNT_
05734231,900000,97000,1,1,
05734231,900000,97000,2,1,
05734231,900000,97000,3,1,
05734231,900000,97000,4,1,
05734231,900000,97000,5,1,
05734231,980000,97000,1,1,
05734231,980000,97000,2,1,
05734231,980000,97000,3,1,
05734231,980000,97000,4,1,
05734231,980000,97000,5,1,
05734232,900000,97000,1,1,
05734232,900000,97000,2,1,
05734232,900000,97000,3,1,
05734232,900000,97000,4,1,
05734232,900000,97000,5,1,
05734232,980000,97000,1,1,
05734232,980000,97000,2,1,
05734232,980000,97000,3,1,
05734232,980000,97000,4,1,
05734232,980000,97000,5,1,
05734241,900000,158319,1,1,
05734241,900000,158319,2,1,
05734241,900000,158319,3,1,
05734241,900000,158319,4,1,
05734241,900000,158319,5,1,
05734241,980000,158319,1,1,
05734241,980000,158319,2,1,
05734241,980000,158319,3,1,
05734241,980000,158319,4,1,
05734241,980000,158319,5,1,
05734242,900000,158319,1,1,
05734242,900000,158319,2,1,
05734242,900000,158319,3,1,
05734242,900000,158319,4,1,
05734242,900000,158319,5,1,
05734242,980000,158319,1,1,
05734242,980000,158319,2,1,
05734242,980000,158319,3,1,
05734242,980000,158319,4,1,
05734242,980000,158319,5,1,
05734251,900000,90000,1,1,
05734251,900000,90000,2,1,
05734251,900000,90000,3,1,
05734251,900000,90000,4,1,
05734251,900000,90000,5,1,
05734251,900140,5248,1,1,
05734251,900140,5248,2,1,
05734251,900140,5248,3,1,
05734251,900140,5248,4,1,
05734251,900140,5248,5,1,
05734251,980000,95248,1,1,
05734251,980000,95248,2,1,
05734251,980000,95248,3,1,
05734251,980000,95248,4,1,
05734251,980000,95248,5,1,
05734252,900000,90000,1,1,
05734252,900000,90000,2,1,
05734252,900000,90000,3,1,
05734252,900000,90000,4,1,
05734252,900000,90000,5,1,
05734252,900140,5248,1,1,
05734252,900140,5248,2,1,
05734252,900140,5248,3,1,
05734252,900140,5248,4,1,
05734252,900140,5248,5,1,
05734252,980000,95248,1,1,
05734252,980000,95248,2,1,
05734252,980000,95248,3,1,
05734252,980000,95248,4,1,
05734252,980000,95248,5,1,
05734291,900000,114000,1,1,
05734291,900000,123371,2,1,
05734291,900000,77249,3,1,
05734291,900000,90171,4,1,
05734291,900000,221091,5,1,
05734291,980000,114000,1,1,
05734291,980000,123371,2,1,
05734291,980000,77249,3,1,
05734291,980000,90171,4,1,
05734291,980000,221091,5,1,
05734292,900000,167661,1,1,
05734292,900000,70788,2,1,
05734292,900000,208904,3,1,
05734292,900000,136743,4,1,
05734292,900000,117488,5,1,
05734292,980000,167661,1,1,
05734292,980000,70788,2,1,
05734292,980000,208904,3,1,
05734292,980000,136743,4,1,
05734292,980000,117488,5,1,
05734301,900030,77368,1,1,
05734301,900030,72208,2,1,
05734301,900030,89752,3,1,
05734301,900030,72052,4,1,
05734301,900030,72100,5,1,
05734301,900150,3516,1,1,
05734301,900150,3516,2,1,
05734301,900150,3516,3,1,
05734301,900150,3516,4,1,
05734301,900150,3516,5,1,
05734301,900170,303,1,1,
05734301,900170,303,2,1,
05734301,900170,303,3,1,
05734301,900170,303,4,1,
05734301,900170,303,5,1,
05734301,980000,81187,1,1,
05734301,980000,76027,2,1,
05734301,980000,93571,3,1,
05734301,980000,75871,4,1,
05734301,980000,75919,5,1,
05734302,900030,83296,1,1,
05734302,900030,76384,2,1,
05734302,900030,80104,3,1,
05734302,900030,69712,4,1,
05734302,900030,69292,5,1,
05734302,900150,3516,1,1,
05734302,900150,3516,2,1,
05734302,900150,3516,3,1,
05734302,900150,3516,4,1,
05734302,900150,3516,5,1,
05734302,900170,303,1,1,
05734302,900170,303,2,1,
05734302,900170,303,3,1,
05734302,900170,303,4,1,
05734302,900170,303,5,1,
05734302,980000,87115,1,1,
05734302,980000,80203,2,1,
05734302,980000,83923,3,1,
05734302,980000,73531,4,1,
05734302,980000,73111,5,1,
05734321,900000,100000,1,1,
05734321,900000,100000,2,1,
05734321,900000,100000,3,1,
05734321,900000,100000,4,1,
05734321,900000,100000,5,1,
05734321,980000,100000,1,1,
05734321,980000,100000,2,1,
05734321,980000,100000,3,1,
05734321,980000,100000,4,1,
05734321,980000,100000,5,1,
05734322,900000,100000,1,1,
05734322,900000,100000,2,1,
05734322,900000,100000,3,1,
05734322,900000,100000,4,1,
05734322,900000,100000,5,1,
05734322,980000,100000,1,1,
05734322,980000,100000,2,1,
05734322,980000,100000,3,1,
05734322,980000,100000,4,1,
05734322,980000,100000,5,1,
05734371,900030,52192,1,1,
05734371,900030,52192,2,1,
05734371,900030,52192,3,1,
05734371,900030,52192,4,1,
05734371,900030,52192,5,1,
05734371,900150,1800,1,1,
05734371,900150,1800,2,1,
05734371,900150,1800,3,1,
05734371,900150,1800,4,1,
05734371,900150,1800,5,1,
05734371,980000,53992,1,1,
05734371,980000,53992,2,1,
05734371,980000,53992,3,1,
05734371,980000,53992,4,1,
05734371,980000,53992,5,1,
05734372,900030,52192,1,1,
05734372,900030,52192,2,1,
05734372,900030,52192,3,1,
05734372,900030,52192,4,1,
05734372,900030,52192,5,1,
05734372,900150,1800,1,1,
05734372,900150,1800,2,1,
05734372,900150,1800,3,1,
05734372,900150,1800,4,1,
05734372,900150,1800,5,1,
05734372,980000,53992,1,1,
05734372,980000,53992,2,1,
05734372,980000,53992,3,1,
05734372,980000,53992,4,1,
05734372,980000,53992,5,1,
05734401,900000,60222,1,1,
05734401,900000,89980,2,1,
05734401,900000,75532,3,1,
05734401,900000,39378,4,1,
05734401,900000,115317,5,1,
05734401,980000,60222,1,1,
05734401,980000,89980,2,1,
05734401,980000,75532,3,1,
05734401,980000,39378,4,1,
05734401,980000,115317,5,1,
05734402,900000,43867,1,1,
05734402,900000,262764,2,1,
05734402,900000,36448,3,1,
05734402,900000,79769,4,1,
05734402,900000,103563,5,1,
05734402,980000,43867,1,1,
05734402,980000,262764,2,1,
05734402,980000,36448,3,1,
05734402,980000,79769,4,1,
05734402,980000,103563,5,1,
05734431,900000,3600,1,1,
05734431,900000,3600,2,1,
05734431,900000,3600,3,1,
05734431,900000,3600,4,1,
05734431,900000,3600,5,1,
05734431,900180,48,1,1,
05734431,900180,49,2,1,
05734431,900180,150,3,1,
05734431,900180,40,4,1,
05734431,900180,63,5,1,
05734431,980000,3648,1,1,
05734431,980000,3649,2,1,
05734431,980000,3750,3,1,
05734431,980000,3640,4,1,
05734431,980000,3663,5,1,
05734432,900000,3600,1,1,
05734432,900000,3600,2,1,
05734432,900000,3600,3,1,
05734432,900000,3600,4,1,
05734432,900000,3600,5,1,
05734432,900180,43,1,1,
05734432,900180,9,2,1,
05734432,900180,98,3,1,
05734432,900180,126,4,1,
05734432,900180,709,5,1,
05734432,980000,3643,1,1,
