File,Quarter,Rows,Columns,Memory_MB,Missing_%,Unique_IDs,Duplicates
fmli,Q1,4602,781,66.2,21.32,4602,0
fmli,Q4,4601,781,66.19,21.33,4601,0
fmli,Q3,4612,781,66.35,21.34,4612,0
fmli,Q2,4673,781,67.23,21.34,4673,0
memi,Q1,10633,177,47.82,39.38,4602,0
memi,Q4,10625,177,47.79,39.49,4601,0
memi,Q3,10711,177,48.17,39.54,4612,0
memi,Q2,10922,177,49.12,39.56,4673,0
mtbi,Q1,358505,13,89.79,0.0,4602,0
mtbi,Q4,360558,13,90.31,0.0,4601,0
mtbi,Q3,363331,13,91.0,0.0,4612,0
mtbi,Q2,363845,13,91.13,0.0,4673,0
